,opencl,opencl,opencl,opencl,opencl,opencl,none,none,none,none,none,none
,nnzb,SolverTime,AssemblyTime,LinearSolveTime,NewtonIterations,LinearIterations,nnzb,SolverTime,AssemblyTime,LinearSolveTime,NewtonIterations,LinearIterations
SPE1CASE2_ACTNUM,1586,29.0474,,,472,8082,,2.38146,,,72,322
SPE1CASE2_FAMII,1780,113.032,,,1384,32903,,22.2088,,,420,3500
SPE3CASE2,1962,727.535,,,15886,117896,,26.2839,,,385,3469
SPE1CASE1,1780,92.0005,,,1218,25365,,18.1081,,,324,2701
SPE5CASE1,,35.5467,,,1030,4962,,36.7705,,,1030,4962
SPE1CASE2_2P,,7.78509,,,248,1627,,7.85148,,,248,1627
SPE1CASE2_THERMAL,,44.5084,,,533,4319,,44.8511,,,533,4319
SPE9,74130,5306.31,,,9403,12619,,454.421,,,242,1614
SPE1CASE2_OILGAS,,3.61876,,,118,907,,3.6576,,,118,907
SPE1CASE2,1780,99.945,,,1385,28271,,21.7192,,,414,3452
SPE1CASE2_NOWELLS,1780,,,,,,,0.374432,,,16,18
SPE1CASE2_SLGOF,1780,126.773,,,1389,39801,,21.9915,,,414,3452
SPE3CASE1,1962,684.153,,,15974,122369,,27.255,,,401,3562
